Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT3,EP,19,0.015267463859739316
NSGAII,ZCAT3,EP,20,0.015262629526454075
NSGAII,ZCAT3,EP,21,0.01399293741090818
NSGAII,ZCAT3,EP,22,0.013845136017610171
NSGAII,ZCAT3,EP,23,0.01419926218258516
NSGAII,ZCAT3,EP,24,0.019577485363859504
NSGAII,ZCAT3,EP,25,0.02018248647746837
NSGAII,ZCAT3,EP,26,0.016618994882178884
NSGAII,ZCAT3,EP,27,0.018114943675376027
NSGAII,ZCAT3,EP,28,0.01497056714407341
NSGAII,ZCAT3,EP,29,0.015605688747886037
NSGAII,ZCAT4,EP,0,0.018510555970492282
NSGAII,ZCAT4,EP,1,0.015080168151742568
NSGAII,ZCAT4,EP,2,0.012571661310602777
NSGAII,ZCAT4,EP,3,0.015284346386349235
NSGAII,ZCAT4,EP,4,0.013706595174382108
NSGAII,ZCAT4,EP,5,0.017282144131667954
NSGAII,ZCAT4,EP,6,0.018143843853321018
NSGAII,ZCAT4,EP,7,0.019015809376659427
NSGAII,ZCAT4,EP,8,0.013198094421008943
NSGAII,ZCAT4,EP,9,0.01778631254439919
NSGAII,ZCAT4,EP,10,0.0158472998575582
NSGAII,ZCAT4,EP,11,0.017459141627517383
NSGAII,ZCAT4,EP,12,0.01639321416687403
NSGAII,ZCAT4,EP,13,0.013748522001815089
NSGAII,ZCAT4,EP,14,0.017502374416751953
NSGAII,ZCAT4,EP,15,0.01543915617374264
NSGAII,ZCAT4,EP,16,0.017297911724987847
NSGAII,ZCAT4,EP,17,0.014147164297747622
NSGAII,ZCAT4,EP,18,0.01411731741680411
NSGAII,ZCAT4,EP,19,0.017862915752364206
NSGAII,ZCAT4,EP,20,0.01534099160150397
NSGAII,ZCAT4,EP,21,0.01686640492941971
NSGAII,ZCAT4,EP,22,0.018603776818315723
NSGAII,ZCAT4,EP,23,0.013222697315495052
NSGAII,ZCAT4,EP,24,0.015220085832868616
NSGAII,ZCAT4,EP,25,0.016646359736950223
NSGAII,ZCAT4,EP,26,0.015627914555249423
NSGAII,ZCAT4,EP,27,0.013613972569077926
NSGAII,ZCAT4,EP,28,0.013057772545961965
NSGAII,ZCAT4,EP,29,0.021434594025870154
NSGAII,ZCAT5,EP,0,0.009525789482402736
NSGAII,ZCAT5,EP,1,0.013577875924051255
NSGAII,ZCAT5,EP,2,0.013158996146196464
NSGAII,ZCAT5,EP,3,0.015136850305001837
NSGAII,ZCAT5,EP,4,0.009524393756126404
NSGAII,ZCAT5,EP,5,0.012740604348094514
NSGAII,ZCAT5,EP,6,0.012844829770082444
NSGAII,ZCAT5,EP,7,0.010184160416305349
NSGAII,ZCAT5,EP,8,0.008294185634818346
NSGAII,ZCAT5,EP,9,0.014138596252608299
NSGAII,ZCAT5,EP,10,0.018344866618953723
NSGAII,ZCAT5,EP,11,0.014356027232208024
NSGAII,ZCAT5,EP,12,0.014474209816035338
NSGAII,ZCAT5,EP,13,0.015875364141130693
NSGAII,ZCAT5,EP,14,0.014190686337071545
NSGAII,ZCAT5,EP,15,0.011490938782514004
NSGAII,ZCAT5,EP,16,0.02116179179236885
NSGAII,ZCAT5,EP,17,0.010932091197873084
NSGAII,ZCAT5,EP,18,0.012872801481419754
NSGAII,ZCAT5,EP,19,0.010716046234829357
NSGAII,ZCAT5,EP,20,0.008790362891249515
NSGAII,ZCAT5,EP,21,0.011424149294804592
NSGAII,ZCAT5,EP,22,0.012996367138728426
NSGAII,ZCAT5,EP,23,0.012403591358058963
NSGAII,ZCAT5,EP,24,0.011661441317006166
NSGAII,ZCAT5,EP,25,0.015106479720820798
NSGAII,ZCAT5,EP,26,0.0118608178982956
NSGAII,ZCAT5,EP,27,0.014356168714701606
NSGAII,ZCAT5,EP,28,0.01436043070710652
NSGAII,ZCAT5,EP,29,0.010293874356481394
NSGAII,ZCAT6,EP,0,0.0085714644484427
NSGAII,ZCAT6,EP,1,0.006489260397078395
NSGAII,ZCAT6,EP,2,0.00877107774955066
NSGAII,ZCAT6,EP,3,0.010030181109658531
NSGAII,ZCAT6,EP,4,0.007403771657516933
NSGAII,ZCAT6,EP,5,0.010356836024837668
NSGAII,ZCAT6,EP,6,0.012726166778086356
NSGAII,ZCAT6,EP,7,0.006959270091621533
NSGAII,ZCAT6,EP,8,0.007882157921641257
NSGAII,ZCAT6,EP,9,0.008642893795249552
NSGAII,ZCAT6,EP,10,0.008275541167709732
NSGAII,ZCAT6,EP,11,0.010074985308426432
NSGAII,ZCAT6,EP,12,0.008225164185363565
NSGAII,ZCAT6,EP,13,0.00820864900406832
NSGAII,ZCAT6,EP,14,0.010409987720717738
NSGAII,ZCAT6,EP,15,0.0086523220601884
NSGAII,ZCAT6,EP,16,0.009331649710876522
NSGAII,ZCAT6,EP,17,0.011280144256969604
NSGAII,ZCAT6,EP,18,0.01107877783572453
NSGAII,ZCAT6,EP,19,0.008423992984140963
NSGAII,ZCAT6,EP,20,0.009273998285459606
NSGAII,ZCAT6,EP,21,0.014193048176826761
NSGAII,ZCAT6,EP,22,0.010455717526433927
NSGAII,ZCAT6,EP,23,0.0092783078012737
NSGAII,ZCAT6,EP,24,0.009518199685762747
NSGAII,ZCAT6,EP,25,0.011786072105415268
NSGAII,ZCAT6,EP,26,0.009549389849602852
NSGAII,ZCAT6,EP,27,0.010569450348436815
NSGAII,ZCAT6,EP,28,0.007614643899369271
NSGAII,ZCAT6,EP,29,0.008849883724974417
